{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-024 - 3-047, Centroid: (201.38715, -16.68126)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-025,3-027, Centroid: (148.1414, -44.50821)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-032, Centroid: (239.45543, -145.3783)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-034, Centroid: (295.40616, -145.3783)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-037 - 3-045, Centroid: (235.21904, -16.68126)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-038 - 3-056, Centroid: (300.17482, 16.20412)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-046 - 3-062, Centroid: (213.67033, 87.5422)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-051, Centroid: (133.04285, 30.8368)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-052,3-054, Centroid: (106.47127, 93.41381)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-060, Centroid: (300.17482, 154.12998)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-061 - 3-065, Centroid: (202.91189, 154.12998)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-147, Centroid: (417.88327, 47.97321)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-155, Centroid: (434.22615, 130.40707)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-158, Centroid: (432.85701, 252.44638)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-160, Centroid: (555.58232, 244.34128)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-161, Centroid: (541.81286, 149.77819)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-214 - 3-220, Centroid: (-101.33435, 224.30229)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-217, Centroid: (-153.63983, 133.99237)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-224,3-226, Centroid: (-222.9021, 224.30229)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 3, Room: 3-232 - 3-240, Centroid: (-301.04424, 61.70218)}
