{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 209, Centroid: (-18.01983, -589.56763)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 211, Centroid: (-101.51732, -556.07568)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 215, Centroid: (-101.51732, -443.88723)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 217, Centroid: (-101.51732, -373.48415)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 218, Centroid: (26.23349, -365.99728)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 219, Centroid: (-101.51732, -307.02754)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 220, Centroid: (26.23349, -281.58878)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 227, Centroid: (-270.94009, 64.97799)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 231, Centroid: (-101.51732, 177.75101)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 233, Centroid: (-101.51732, 242.99662)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 235, Centroid: (-101.51732, 306.74836)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 237, Centroid: (-101.51732, 372.10326)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 241, Centroid: (-101.51732, 438.73593)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 243, Centroid: (-101.51732, 504.40883)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 252, Centroid: (198.40073, 537.01565)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Building Outline, Centroid: (-3.62015, 8.59929)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (71.39241, -0.69446)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Entrance, Centroid: (-152.0258, -181.57335)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Elevator, Centroid: (-74.00884, 96.57832)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Hallway, Centroid: (1.26689, 17.82941)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (-101.51732, -105.60422)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (59.33067, 455.74108)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (26.23349, -0.69446)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Stairs, Centroid: (55.40918, -458.3688)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: AllGender Washroom, Centroid: (2.92144, 483.03168)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Washroom Men, Centroid: (-1.02992, -487.31686)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: Washroom Women, Centroid: (-1.02992, -424.91359)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: 224, Centroid: (26.23349, -185.11682)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-101.51732, 102.46473)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-101.51732, -210.55558)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (-83.46662, 587.29317)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: X, Centroid: (2.92144, 423.4852)}
{Building: Athabasca Hall, Campus: North Campus, Floor: Level 2, Room: None, Centroid: None}
